date,htype,locale,locale_name,transferred,f2
1040,4,2,15,1,612
1108,4,2,15,1,450
1546,4,2,15,1,256
1270,4,2,15,1,57
643,3,0,17,0,950
744,4,2,15,1,749
1363,3,0,9,0,915
1137,4,2,15,1,308
1517,3,0,14,0,799
1665,4,2,15,1,957
1573,4,2,15,1,662
1494,4,2,15,1,858
469,4,2,15,1,864
1294,4,2,15,1,587
1498,4,2,15,1,543
1390,4,2,15,1,310
1582,4,2,15,1,843
520,4,2,15,1,766
1515,3,1,4,0,435
690,4,2,15,1,432
933,3,0,8,0,488
1460,4,2,15,1,810
1333,4,2,15,1,874
1257,4,2,15,1,317
637,4,2,15,1,524
1638,4,2,15,1,747
654,4,2,15,1,519
603,4,2,15,1,959
1529,4,2,15,1,796
555,4,2,15,1,568
1144,4,2,15,1,393
1233,4,2,15,1,369
1675,4,2,15,1,809
525,4,2,15,1,626
1466,4,2,15,1,851
1179,4,2,15,1,357
1559,5,0,3,0,988
533,4,2,15,1,877
1173,4,2,15,1,220
1330,4,2,15,1,808
1578,4,2,15,1,961
485,4,2,15,1,424
894,4,2,15,1,330
1402,3,3,22,0,316
970,4,2,15,1,32
1344,4,2,15,1,434
1259,4,2,15,1,500
1013,4,2,15,1,240
1443,4,2,15,1,413
1628,4,2,15,1,542
925,4,2,15,1,557
1618,4,2,15,1,891
1507,4,2,15,1,489
1285,4,2,15,1,697
1145,4,2,15,1,888
947,4,2,15,1,728
1563,4,2,15,1,115
1347,4,2,15,1,423
1444,4,2,15,1,520
1293,4,2,15,1,409
898,4,2,15,1,342
823,4,2,15,1,640
696,4,2,15,1,438
531,4,2,15,1,675
776,4,2,15,1,691
518,4,2,15,1,863
599,3,0,0,0,708
650,4,2,15,1,420
1185,4,2,15,1,807
578,4,2,15,1,759
1636,4,2,15,1,35
1221,2,1,4,0,764
968,4,2,15,1,210
794,4,2,15,1,554
1009,3,1,4,0,875
605,4,2,15,1,478
293,4,2,15,1,378
392,4,2,15,1,109
258,4,2,15,1,422
542,2,1,4,0,843
54,4,2,15,1,399
45,4,2,15,1,899
92,4,2,15,1,524
197,4,2,15,1,245
357,0,1,4,0,951
448,4,2,15,1,151
236,4,2,15,1,180
86,4,2,15,1,451
198,4,2,15,1,610
353,4,2,15,1,933
67,4,2,15,1,335
24,4,2,15,1,820
70,4,2,15,1,391
60,3,0,14,0,194
272,4,2,15,1,668
348,4,2,15,1,583
404,4,2,15,1,777
95,4,2,15,1,950
313,3,0,7,0,249
364,3,1,4,0,480
1478,4,2,15,1,910
889,4,2,15,1,703
1381,4,2,15,1,23
1413,4,2,15,1,724
569,3,0,8,0,423
595,4,2,15,1,227
1537,4,2,15,1,607
1254,4,2,15,1,924
1572,4,2,15,1,274
965,4,2,15,1,56
1256,4,2,15,1,847
1208,2,1,4,0,696
940,4,2,15,1,979
1579,4,2,15,1,948
1034,3,1,4,0,793
1224,2,1,4,0,217
480,4,2,15,1,661
1281,4,2,15,1,467
1334,4,2,15,1,319
1133,4,2,15,1,583
1670,4,2,15,1,104
642,4,2,15,1,834
1640,3,0,21,0,957
1614,4,2,15,1,951
1349,4,2,15,1,962
798,4,2,15,1,299
1651,4,2,15,1,900
1462,4,2,15,1,584
1039,4,2,15,1,45
1019,4,2,15,1,482
1190,4,2,15,1,992
733,4,2,15,1,575
540,4,2,15,1,877
553,2,1,4,0,902
961,4,2,15,1,677
583,4,2,15,1,894
711,4,2,15,1,740
1366,4,2,15,1,33
1006,4,2,15,1,539
1620,4,2,15,1,64
1445,4,2,15,1,426
1223,2,1,4,0,135
1353,4,2,15,1,292
976,4,2,15,1,298
682,4,2,15,1,783
1487,4,2,15,1,179
1612,4,2,15,1,921
1181,4,2,15,1,936
1032,4,2,15,1,221
1035,4,2,15,1,686
992,4,2,15,1,790
1176,3,1,4,0,916
1588,3,0,16,0,506
901,3,0,7,0,890
863,4,2,15,1,439
1012,4,2,15,1,100
1066,0,0,18,0,45
1422,4,2,15,1,808
1592,4,2,15,1,856
971,4,2,15,1,162
582,4,2,15,1,527
1054,4,2,15,1,74
1038,3,3,20,0,7
535,4,2,15,1,605
551,4,2,15,1,90
1061,2,1,4,0,300
490,4,2,15,1,137
489,4,2,15,1,1
1336,4,2,15,1,890
465,3,0,3,0,729
1619,4,2,15,1,138
656,4,2,15,1,179
510,4,2,15,1,152
830,4,2,15,1,338
1184,4,2,15,1,891
492,4,2,15,1,227
626,4,2,15,1,775
1051,4,2,15,1,6
1140,4,2,15,1,531
858,4,2,15,1,829
1414,4,2,15,1,94
857,2,1,4,0,254
79,4,2,15,1,782
298,4,2,15,1,958
292,4,2,15,1,735
421,4,2,15,1,124
314,3,0,11,0,287
333,4,2,15,1,204
297,4,2,15,1,963
564,4,2,15,1,533
380,4,2,15,1,835
76,4,2,15,1,976
121,4,2,15,1,705
417,4,2,15,1,424
59,4,2,15,1,900
431,4,2,15,1,325
56,4,2,15,1,958
19,4,2,15,1,930
390,4,2,15,1,734
203,3,0,1,0,192
1457,3,1,4,2,331
456,4,2,15,1,109
1230,4,2,15,1,954
772,4,2,15,1,144
897,4,2,15,1,353
1518,4,2,15,1,423
958,4,2,15,1,409
1252,4,2,15,1,546
1674,4,2,15,1,585
978,4,2,15,1,450
1591,4,2,15,1,958
1555,4,2,15,1,826
1018,4,2,15,1,184
1574,4,2,15,1,67
1303,4,2,15,1,957
519,4,2,15,1,271
1373,4,2,15,1,948
1047,4,2,15,1,521
611,4,2,15,1,731
937,4,2,15,1,705
1139,4,2,15,1,720
1291,4,2,15,1,615
538,4,2,15,1,55
840,4,2,15,1,590
1177,4,2,15,1,697
549,2,1,4,0,915
590,3,0,19,0,781
1475,4,2,15,1,339
544,2,1,4,0,685
783,4,2,15,1,755
1165,4,2,15,1,923
1401,4,2,15,1,255
685,4,2,15,1,544
1654,4,2,15,1,42
739,4,2,15,1,397
1652,4,2,15,1,547
1258,4,2,15,1,643
765,4,2,15,1,847
1365,4,2,15,1,28
1523,4,2,15,1,920
671,4,2,15,1,672
761,4,2,15,1,921
853,4,2,15,1,903
1132,4,2,15,1,653
967,4,2,15,1,411
738,4,2,15,1,99
679,3,0,0,0,751
1521,4,2,15,1,683
1446,4,2,15,1,233
1316,5,1,4,0,321
872,4,2,15,1,111
1439,4,2,15,1,415
532,4,2,15,1,303
883,4,2,15,1,265
704,4,2,15,1,276
1020,4,2,15,1,222
821,4,2,15,1,353
596,4,2,15,1,364
741,4,2,15,1,482
955,4,2,15,1,341
668,4,2,15,1,727
1243,4,2,15,1,725
557,2,1,4,0,918
1319,3,0,19,0,559
1324,4,2,15,1,134
1187,4,2,15,1,563
1059,4,2,15,1,915
854,4,2,15,1,398
1265,4,2,15,1,14
1068,4,2,15,1,438
1253,4,2,15,1,401
707,4,2,15,1,164
1329,4,2,15,1,302
1017,4,2,15,1,679
1551,4,2,15,1,875
655,4,2,15,1,590
462,4,2,15,1,234
850,4,2,15,1,351
405,4,2,15,1,927
116,4,2,15,1,570
335,4,2,15,1,719
260,4,2,15,1,331
362,4,2,15,1,785
378,4,2,15,1,699
105,4,2,15,1,780
235,3,0,0,0,340
234,4,2,15,1,805
146,4,2,15,1,179
394,4,2,15,1,793
233,4,2,15,1,898
201,4,2,15,1,611
37,4,2,15,1,908
229,4,2,15,1,541
325,4,2,15,1,17
20,4,2,15,1,696
123,4,2,15,1,288
129,4,2,15,1,951
371,4,2,15,1,957
33,4,2,15,1,740
374,4,2,15,1,295
94,4,2,15,1,282
395,4,2,15,1,426
199,4,2,15,1,482
173,3,0,7,0,111
16,4,2,15,1,402
44,4,2,15,1,188
420,4,2,15,1,58
210,4,2,15,1,483
145,4,2,15,1,409
156,4,2,15,1,116
17,4,2,15,1,372
175,3,3,10,0,907
444,4,2,15,1,793
261,4,2,15,1,811
249,4,2,15,1,508
594,4,2,15,1,175
1500,4,2,15,1,860
1063,4,2,15,1,121
891,4,2,15,1,248
568,0,0,8,0,292
879,4,2,15,1,142
919,4,2,15,1,459
1278,4,2,15,1,4
922,4,2,15,1,843
991,4,2,15,1,101
886,4,2,15,1,111
1624,4,2,15,1,530
1438,4,2,15,1,731
979,4,2,15,1,704
461,4,2,15,1,254
966,4,2,15,1,76
659,4,2,15,1,533
528,4,2,15,1,831
1676,4,2,15,1,910
470,4,2,15,1,63
1041,3,0,7,0,776
975,4,2,15,1,547
1456,0,1,4,0,35
1126,4,2,15,1,764
1007,3,0,17,0,272
1597,4,2,15,1,443
610,4,2,15,1,804
712,4,2,15,1,646
918,4,2,15,1,175
983,4,2,15,1,358
1646,4,2,15,1,443
661,4,2,15,1,3
1511,4,2,15,1,658
1158,4,2,15,1,73
895,4,2,15,1,862
636,4,2,15,1,599
911,3,0,21,0,481
864,4,2,15,1,410
1011,4,2,15,1,144
1556,4,2,15,1,471
1058,2,1,4,0,791
796,4,2,15,1,1
1161,4,2,15,1,286
1524,4,2,15,1,909
849,4,2,15,1,874
1387,4,2,15,1,697
621,4,2,15,1,424
1121,4,2,15,1,80
1397,4,2,15,1,26
1491,4,2,15,1,843
1476,4,2,15,1,389
1157,4,2,15,1,461
473,4,2,15,1,826
957,4,2,15,1,863
1606,4,2,15,1,449
1657,4,2,15,1,345
500,4,2,15,1,665
954,3,0,19,0,455
1087,4,2,15,1,134
1130,3,1,4,0,260
1440,4,2,15,1,457
1662,0,0,8,0,179
1610,4,2,15,1,220
501,4,2,15,1,697
1649,4,2,15,1,491
828,4,2,15,1,674
1101,4,2,15,1,527
1425,4,2,15,1,483
1516,4,2,15,1,933
1313,4,2,15,1,35
1171,4,2,15,1,567
1081,4,2,15,1,89
1095,4,2,15,1,721
1339,4,2,15,1,340
1183,3,3,2,0,728
1328,3,0,0,0,621
885,4,2,15,1,273
814,4,2,15,1,747
855,4,2,15,1,601
736,4,2,15,1,905
873,4,2,15,1,62
1672,4,2,15,1,168
505,4,2,15,1,7
822,4,2,15,1,677
1240,4,2,15,1,992
295,4,2,15,1,111
422,4,2,15,1,746
66,4,2,15,1,312
281,3,1,4,2,184
181,4,2,15,1,13
267,4,2,15,1,397
148,4,2,15,1,916
250,4,2,15,1,194
396,4,2,15,1,512
131,2,1,4,0,396
64,4,2,15,1,3
312,4,2,15,1,538
208,4,2,15,1,410
276,4,2,15,1,343
1,4,2,15,1,56
144,4,2,15,1,277
255,4,2,15,1,299
347,4,2,15,1,861
170,4,2,15,1,24
162,4,2,15,1,860
223,4,2,15,1,28
307,4,2,15,1,743
1497,4,2,15,1,903
1277,4,2,15,1,225
1369,4,2,15,1,949
1335,4,2,15,1,998
632,4,2,15,1,624
1249,4,2,15,1,686
1359,4,2,15,1,829
1244,4,2,15,1,838
841,4,2,15,1,234
1225,2,1,4,0,396
1660,3,0,1,0,918
1486,4,2,15,1,528
1014,4,2,15,1,257
1617,4,2,15,1,156
837,4,2,15,1,393
1434,3,0,13,0,831
909,4,2,15,1,119
1310,4,2,15,1,498
1295,4,2,15,1,886
593,4,2,15,1,139
1362,4,2,15,1,309
913,4,2,15,1,833
1550,4,2,15,1,909
795,4,2,15,1,781
723,4,2,15,1,735
1488,4,2,15,1,506
1601,4,2,15,1,559
1241,4,2,15,1,854
699,4,2,15,1,52
948,4,2,15,1,119
999,4,2,15,1,126
1297,5,0,8,0,998
804,4,2,15,1,530
788,3,0,14,0,255
1237,4,2,15,1,504
623,4,2,15,1,828
698,2,1,4,0,498
1263,4,2,15,1,421
475,4,2,15,1,451
1262,4,2,15,1,543
1003,4,2,15,1,455
1583,4,2,15,1,50
1150,4,2,15,1,272
602,4,2,15,1,514
1251,4,2,15,1,723
770,4,2,15,1,880
768,4,2,15,1,319
556,2,1,4,0,620
1123,4,2,15,1,227
1267,4,2,15,1,118
545,2,1,4,0,111
550,4,2,15,1,686
833,4,2,15,1,864
509,4,2,15,1,410
523,4,2,15,1,873
1156,4,2,15,1,715
1602,5,1,4,0,991
1621,4,2,15,1,975
1380,4,2,15,1,638
884,4,2,15,1,605
856,0,1,4,0,171
986,4,2,15,1,378
560,4,2,15,1,133
182,4,2,15,1,729
38,4,2,15,1,835
242,4,2,15,1,791
606,4,2,15,1,183
189,4,2,15,1,880
403,4,2,15,1,888
109,4,2,15,1,449
21,4,2,15,1,844
289,4,2,15,1,882
414,4,2,15,1,795
383,4,2,15,1,371
190,4,2,15,1,493
429,4,2,15,1,450
430,4,2,15,1,982
9,4,2,15,1,782
286,4,2,15,1,771
413,4,2,15,1,124
411,4,2,15,1,723
329,4,2,15,1,77
52,4,2,15,1,385
23,4,2,15,1,961
111,4,2,15,1,861
264,4,2,15,1,611
268,4,2,15,1,549
224,4,2,15,1,866
266,4,2,15,1,534
349,4,2,15,1,444
351,4,2,15,1,11
1120,4,2,15,1,762
1581,4,2,15,1,469
1389,4,2,15,1,387
565,4,2,15,1,47
819,4,2,15,1,48
1036,4,2,15,1,147
1332,4,2,15,1,124
1561,4,2,15,1,373
1400,1,1,4,0,340
1485,4,2,15,1,552
1274,4,2,15,1,131
1360,4,2,15,1,159
775,3,1,4,0,77
1075,4,2,15,1,545
1033,3,1,4,0,604
1354,4,2,15,1,658
915,4,2,15,1,526
1388,4,2,15,1,349
1128,4,2,15,1,79
914,4,2,15,1,706
486,4,2,15,1,936
669,3,1,4,0,991
1260,4,2,15,1,229
757,4,2,15,1,61
495,3,0,16,0,329
1044,4,2,15,1,521
1622,4,2,15,1,4
1512,4,2,15,1,142
1377,4,2,15,1,379
1589,0,1,4,0,448
681,4,2,15,1,370
1483,4,2,15,1,918
818,3,3,2,0,433
737,6,1,4,0,258
902,4,2,15,1,960
784,4,2,15,1,467
867,4,2,15,1,225
1175,4,2,15,1,43
1119,4,2,15,1,242
1539,4,2,15,1,551
764,4,2,15,1,900
1541,4,2,15,1,361
1504,4,2,15,1,494
1315,4,2,15,1,974
1566,4,2,15,1,108
912,4,2,15,1,794
620,4,2,15,1,47
1226,2,1,4,0,220
916,4,2,15,1,430
779,4,2,15,1,244
756,4,2,15,1,308
459,4,2,15,1,279
1206,2,1,4,0,658
1430,4,2,15,1,255
567,3,0,1,0,303
1447,0,1,4,0,18
662,4,2,15,1,728
923,4,2,15,1,865
1212,2,1,4,0,415
1015,4,2,15,1,152
468,4,2,15,1,657
628,4,2,15,1,445
1152,4,2,15,1,935
467,3,0,12,0,417
780,4,2,15,1,122
1528,4,2,15,1,564
581,4,2,15,1,486
426,3,1,4,0,892
273,4,2,15,1,650
263,4,2,15,1,356
154,4,2,15,1,325
246,4,2,15,1,784
274,4,2,15,1,535
439,4,2,15,1,194
30,4,2,15,1,601
130,0,1,4,0,874
40,4,2,15,1,294
168,4,2,15,1,511
151,4,2,15,1,466
412,4,2,15,1,86
311,4,2,15,1,499
88,4,2,15,1,837
97,4,2,15,1,576
230,4,2,15,1,744
5,4,2,15,1,865
332,4,2,15,1,697
279,3,0,17,0,385
166,4,2,15,1,415
345,4,2,15,1,71
391,4,2,15,1,525
93,4,2,15,1,32
62,4,2,15,1,543
366,4,2,15,1,356
100,4,2,15,1,787
108,4,2,15,1,673
217,4,2,15,1,250
158,4,2,15,1,503
221,3,1,4,0,930
1200,2,1,4,0,714
1626,4,2,15,1,81
1072,4,2,15,1,184
1348,4,2,15,1,140
1341,4,2,15,1,961
649,4,2,15,1,180
1112,4,2,15,1,670
1396,4,2,15,1,646
1307,4,2,15,1,377
1162,4,2,15,1,125
1361,4,2,15,1,938
865,4,2,15,1,182
972,4,2,15,1,554
1565,4,2,15,1,879
1416,4,2,15,1,398
758,4,2,15,1,866
1056,4,2,15,1,175
494,2,1,4,0,987
1220,2,1,4,0,565
1327,4,2,15,1,720
1627,4,2,15,1,600
988,4,2,15,1,456
543,2,1,4,0,190
1613,4,2,15,1,182
530,4,2,15,1,223
1320,4,2,15,1,13
1405,4,2,15,1,830
1449,0,1,4,0,790
1510,4,2,15,1,671
663,4,2,15,1,156
1288,4,2,15,1,23
1166,4,2,15,1,432
771,4,2,15,1,939
1552,4,2,15,1,524
1317,4,2,15,1,958
1077,4,2,15,1,754
749,4,2,15,1,496
812,4,2,15,1,275
980,4,2,15,1,141
1399,3,1,4,0,427
944,3,0,6,0,450
1205,2,1,4,0,996
1109,4,2,15,1,183
852,4,2,15,1,862
1663,4,2,15,1,255
622,4,2,15,1,469
1088,4,2,15,1,854
760,4,2,15,1,373
674,3,3,20,0,75
708,4,2,15,1,806
652,4,2,15,1,52
1632,3,3,10,0,820
1146,4,2,15,1,629
1681,4,2,15,1,721
1255,4,2,15,1,681
1099,4,2,15,1,986
460,4,2,15,1,572
1643,4,2,15,1,917
1031,4,2,15,1,187
868,4,2,15,1,280
726,4,2,15,1,296
1325,4,2,15,1,447
1671,4,2,15,1,815
474,3,0,19,0,42
585,3,1,4,0,807
731,4,2,15,1,638
952,4,2,15,1,369
497,4,2,15,1,600
1127,4,2,15,1,606
483,4,2,15,1,462
524,4,2,15,1,186
908,4,2,15,1,544
990,4,2,15,1,528
691,4,2,15,1,367
616,4,2,15,1,998
1264,4,2,15,1,700
479,4,2,15,1,319
1229,4,2,15,1,703
6,4,2,15,1,509
435,4,2,15,1,748
240,4,2,15,1,104
204,0,0,8,0,883
296,4,2,15,1,894
434,4,2,15,1,912
91,4,2,15,1,887
451,4,2,15,1,88
128,4,2,15,1,723
74,4,2,15,1,509
269,4,2,15,1,203
437,4,2,15,1,404
141,4,2,15,1,754
386,4,2,15,1,834
402,4,2,15,1,708
309,3,3,22,0,482
400,4,2,15,1,567
10,4,2,15,1,84
11,6,1,4,0,226
176,4,2,15,1,113
1398,3,1,4,0,318
14,4,2,15,1,844
1271,4,2,15,1,850
1450,0,1,4,0,204
1481,4,2,15,1,585
1442,4,2,15,1,700
1117,4,2,15,1,522
1199,2,1,4,0,926
773,4,2,15,1,668
714,4,2,15,1,545
929,4,2,15,1,989
1163,4,2,15,1,282
1116,4,2,15,1,74
1384,4,2,15,1,98
789,4,2,15,1,454
1093,4,2,15,1,700
1323,4,2,15,1,46
539,3,3,10,0,676
1060,4,2,15,1,128
1296,3,0,1,0,951
1148,4,2,15,1,923
1070,4,2,15,1,564
724,4,2,15,1,852
1238,4,2,15,1,830
1067,3,0,18,0,495
729,1,1,4,0,767
644,4,2,15,1,803
1222,2,1,4,0,972
1004,4,2,15,1,211
664,4,2,15,1,727
1568,4,2,15,1,534
781,4,2,15,1,463
1586,4,2,15,1,552
591,4,2,15,1,401
938,4,2,15,1,986
601,4,2,15,1,630
1022,4,2,15,1,288
1308,4,2,15,1,580
1641,4,2,15,1,208
1637,4,2,15,1,6
640,4,2,15,1,430
951,4,2,15,1,117
932,3,0,8,0,352
1194,3,0,3,0,920
541,4,2,15,1,813
1394,4,2,15,1,573
825,4,2,15,1,590
1404,4,2,15,1,797
1633,4,2,15,1,448
577,4,2,15,1,668
1069,3,0,13,0,101
1338,4,2,15,1,217
571,4,2,15,1,565
861,4,2,15,1,614
778,4,2,15,1,650
824,4,2,15,1,935
943,4,2,15,1,672
515,4,2,15,1,841
786,4,2,15,1,614
803,4,2,15,1,921
836,4,2,15,1,35
2,4,2,15,1,16
171,4,2,15,1,884
80,4,2,15,1,306
319,4,2,15,1,856
153,4,2,15,1,323
449,4,2,15,1,777
441,4,2,15,1,22
132,4,2,15,1,332
99,4,2,15,1,796
358,0,1,4,0,420
72,4,2,15,1,203
7,4,2,15,1,856
106,4,2,15,1,622
63,4,2,15,1,327
160,4,2,15,1,973
127,4,2,15,1,227
416,4,2,15,1,905
389,4,2,15,1,210
169,4,2,15,1,331
186,4,2,15,1,129
245,4,2,15,1,770
399,4,2,15,1,421
159,4,2,15,1,356
120,3,1,4,0,131
51,4,2,15,1,952
277,4,2,15,1,724
82,4,2,15,1,643
375,4,2,15,1,591
152,4,2,15,1,563
113,4,2,15,1,87
450,4,2,15,1,901
291,4,2,15,1,93
354,0,1,4,0,394
288,4,2,15,1,999
452,4,2,15,1,601
15,4,2,15,1,317
962,4,2,15,1,933
566,4,2,15,1,648
769,4,2,15,1,777
1372,3,0,17,0,956
801,4,2,15,1,725
1322,4,2,15,1,449
709,4,2,15,1,418
1282,4,2,15,1,955
1115,4,2,15,1,283
1021,4,2,15,1,536
890,4,2,15,1,729
1587,4,2,15,1,991
588,4,2,15,1,788
887,4,2,15,1,166
683,4,2,15,1,483
995,4,2,15,1,62
939,4,2,15,1,330
1049,4,2,15,1,210
1650,4,2,15,1,443
1124,4,2,15,1,715
1107,4,2,15,1,594
845,4,2,15,1,571
1026,4,2,15,1,551
604,4,2,15,1,18
917,4,2,15,1,206
1392,4,2,15,1,811
1522,4,2,15,1,793
1655,4,2,15,1,755
721,0,1,4,0,183
1575,4,2,15,1,173
1211,2,1,4,0,87
1420,4,2,15,1,618
1532,4,2,15,1,725
746,4,2,15,1,48
